PREGÃO;DESCRIÇÃO;QUANTIDADES DE ITENS LICITADOS;VALOR TOTAL HOMOLOGADO;UNIDADE RESPONSÁVEL;OBSERVAÇÃO 
64/2019;Aquisição de material gráfico (banner).;;R$ 350,00;PARANAVAÍ;
65/2019;Aquisição de Material Laboratorial;;R$ 2.384,00;PARANAVAÍ;
66/2019;Aquisição de material de limpeza e prod ução de higienização;;R$ 6.000,00;PARANAVAÍ;
01/2020;Contratação de serviços de energia elétrica.;1;R$ 240.000,00;PARANAVAÍ;
03/2020;Aquisição de material para possibilitar a fabricação de álcool gel para enfrentamento da COVID-19.;1;R$ 11.495,00;PARANAVAÍ;
04/2020;Aquisição de equipamento para possibilitar a fabricação de álcool 70% INPM gel e líquido para enfrentamento da COVID-19.;1;R$ 2.990,00;PARANAVAÍ;
05/2020;Aquisição de material para possibilitar a fabricação de álcool gel para enfrentamento da COVID-19.;2;R$ 985,97;PARANAVAÍ;
06/2020;Aquisição de insumos para fabricação de álcool gel para enfrentamento da COVID-19.;2;R$ 1.145,40;PARANAVAÍ;
07/2020;Aquisição de equipamento para possibilitar a fabricação de álcool gel para enfrentamento da COVID-19.;1;R$ 3.334,50;PARANAVAÍ;
08/2020;Aquisição de material para possibilitar a fabricação de álcool gel para enfrentamento da COVID-19.;1;R$ 1.049,75;PARANAVAÍ;
09/2020;Aquisição de insumos para produção de mascaras de proteção, tipo Face Shield, para enfrentamento da COVID-19.;1;R$ 1.798,60;PARANAVAÍ;
10/2020;Aquisição de kits de alimentos para distribuição aos estudantes do Campus Paranavaí durante a pandemia COVID-19.;1;R$ 12.526,35;PARANAVAÍ;
11/2020;Aquisição de equipamento para possibilitar a fabricação de álcool gel para enfrentamento da COVID-19.;2;R$ 1.086,00;PARANAVAÍ;
12/2020;Aquisição de equipamento para possibilitar a fabricação de álcool gel para enfrentamento da COVID-19.;1;R$ 2.000,00;PARANAVAÍ;
13/2020;Aquisição de equipamento para aquisição de insumos para fabricação de máscaras do tipo Face Shield destinadas para doação aos agentes de saúde pública do município para enfrentamento da COVID-19.;1;R$ 2.414,54;PARANAVAÍ;
14/2020;Aquisição de equipamento para possibilitar a fabricação de álcool gel para enfrentamento da COVID-19.;1;R$ 258,00;PARANAVAÍ;
15/2020;Contratação de empresa especializada para execução de serviço de recapeamento do acesso e estacionamento de pavimentação asfáltica em CBUQ existente do Campus Paranavaí.;1;R$ 98.598,20;PARANAVAÍ;
16/2020;Aquisição de kit alimentação para distribuição aos alunos do IFPR - Campus Paranavaí;1;R$ 13.993,40;PARANAVAÍ;
18/2020;A presente cotação eletrônica tem por objetivo a aquisição de material de limpeza (detergente líquido, neutro, embalagem de 500ml) na quantidade de 700 unidades, para utilização nos laboratórios do IFPR - Campus Paranavaí.;1;R$ 1.060,00;PARANAVAÍ;
22/2020;Aquisição de kits de alimentação a serem distribuídos aos alunos do IFPR - Campus Paranavaí,  diretamente da Agricultura Familiar e do Empreendedor Familiar Rural para execução do Programa Nacional de Alimentação Escolar (PNAE) durante a pandemia COVID-19.;1;R$ 26.608,20;PARANAVAÍ;
23/2020;Teste para reunião Grupo de Trabalho Plano de Centralização das UASG.;1;R$ 0,01;PARANAVAÍ;
24/2020;Aquisição de placas de identificação de localidade para as salas e laboratórios do campus.;5;R$ 7.470,20;PARANAVAÍ;
25/2020;Aquisição de recargas de extintores de incêndio dos blocos do campus.;5;R$ 1.481,00;PARANAVAÍ;
26/2020;Aquisição de kits de alimentação escolar para os estudantes devido ao desenvolvimento atividades de ensino não presenciais em razão da medidas de afastamento para contenção da propagação da COVID-19.;1;R$ 29.005,50;PARANAVAÍ;
27/2020;Contratação de seguro predial para as instalações do campus.;1;R$ 3.521,69;PARANAVAÍ;
28/2020;Aquisição de recarga de gás GLP para abastecimento dos laboratórios de química, alimentos e microbiologia para o Campus Paranavaí.;1;R$ 1.450,00;PARANAVAÍ;
29/2020;"Serviços de manutenção preventiva e calibração, com análise prévia de defeitos, desgastes e sensibilidade de componentes; inspeção de componentes/acessórios; e verificação da calibração antes dos ajustes a serem procedidos no equipamento: Viscosímetro, modelo: 10IDV3TELV110/220V, série 8731884";1;R$ 3.455,00;PARANAVAÍ;
30/2020;Aquisição de móveis planejados para estruturação das instalações do laboratório de Química para atender às necessidades do Eixo de Química;1;R$ 49.990,00;PARANAVAÍ;
31/2020;Aquisição de divisórias e instalação de paredes de gesso acartonado nos laboratórios;2;R$ 5.700,00;PARANAVAÍ;
32/2020;Aquisição de 01 (uma) unidade do item MESA DE SOM COM 12 CANAIS, para atender às necessidades do IFPR - Campus Paranavaí;1;R$ 1.740,00;PARANAVAÍ;
33/2020;Contratação de serviços de manutenção corretiva de equipamento de laboratório (bomba de vácuo) para atender às necessidades do Eixo de Química.;1;R$ 280,00;PARANAVAÍ;
34/2020;Aquisição de Equipamentos e Materiais para Automação de Portão de Acesso do Campus Paranavaí.;13;R$ 7.490,23;PARANAVAÍ;
35/2020;Aquisição de peças e serviços para manutenção Corretiva e Preventiva Cancelas da Guarita do Campus Paranavaí;3;R$ 1.004,00;PARANAVAÍ;
36/2020;Aquisição de Peças e Serviços para Manutenção, Conservação e Instalação de Ares Condicionados do Campus Paranavaí.;16;R$ 36.180,00;PARANAVAÍ;
01/2020;O presente Termo de Referência tem por objetivo a aquisição de kits de alimentação a serem distribuídos aos alunos do IFPR - Campus Pinhais, conforme estudo de viabilidade para execução do Programa Nacional de Alimentação Escolar (PNAE) durante a pandemia do novo coronavírus, o qual encontra-se instruídos aos autos do Processo Administrativo 23411.005682/2020-62.;8;R$ 6.148,80;PINHAIS;
02/2020;Totem display personalizado para álcool gel com pedal.Display personalizado para álcool em gel, estrutura tubular em aço, com tratamento antiferrugem e pintura epóxi. Possui pedal para acionamento pelo pé sem tocar as mãos. Abertura fácil para retirada e reposição do frasco de álcool em gel. Para frasco de no mínimo 500ml. ;1;R$ 2.360,00;PINHAIS;
04/2020;Aquisição de gêneros alimentícios da agricultura familiar para atendimento ao Programa Nacional de Alimentação Escolar – PNAE.;15;R$ 1.291.500,00;PINHAIS;
05/2020;Aquisição de glicerina para produção de álcool em gel pelo IFPR - campus Pinhais;1;R$ 323,22;PINHAIS;
06/2020;Bombona 5l natural retangular tampa rosca lacre;1;R$ 44,00;PINHAIS;
07/2020;O objeto deste processo é a contratação de empresa especializada no treinamento teórico e prático para possibilitar a Formação de Brigada de Incêndio de acordo com a legislação em vigor para atender o Instituto Federal do Paraná - Campus Pinhais.;1;R$ 2.980,00;PINHAIS;
09/2020;Placas de sinalização para demarcação das áreas de circulação do Campus Pinhais para prevenção e combate à COVID-19;4;R$ 434,00;PINHAIS;
10/2020;Aquisição de gêneros alimentícios orgânicos da Agricultura Familiar e do Empreendedor Familiar Rural, para o atendimento ao Programa Nacional de Alimentação Escolar Pnae.;15;R$ 12.915,00;PINHAIS;
12/2020;Material de Limpeza e Produtos de Higienização - TAPETES SANITIZANTES EM VINIL.;2;R$ 3.105,90;PINHAIS;
13/2020;Aquisição de Álcool etílico 92,8 INPM (96° GL) para o Campus Pinhais do IFPR;1;R$ 2.900,00;PINHAIS;
14/2020;Aquisição de Trietanolamina pa.número de referência química CAS 102-71-6. Neon para o Campus Pinhais do IFPR;1;R$ 751,73;PINHAIS;
16/2020;Aquisição de 6 unidades de esguicho regulável para mangueira de incêndio.;1;R$ 568,80;PINHAIS;
17/2020;Contratação de empresa especializada em serviços de emissão de certificados digitais.;1;R$ 390,00;PINHAIS;
19/2020;Aquisição de CARBOXIMETILCELULOSE SAL SODICO (VISC.1000/2000CP) para o Campus Pinhais do IFPR - 19 Frascos de 500g;1;R$ 1.045,00;PINHAIS;
22/2020;Aquisição de Álcool etílico 92,8 INPM (96° GL) para o Campus Pinhais do IFPR;1;R$ 4.749,87;PINHAIS;
23/2020;Aquisição de Álcool etílico 92,8 INPM (96° GL) para o Campus Pinhais do IFPR;1;R$ 4.749,87;PINHAIS;
24/2020;Aquisição de barreiras de acrílico para distribuição aos diversos setores do Campus Pinhais como forma de prevenção e enfrentamento à COVID-19.;2;R$ 2.850,00;PINHAIS;
27/2020;Aquisição de Serviços de Chaveiro para o Campus Pinhais do IFPR;1;R$ 1.320,00;PINHAIS;
28/2020;Portão eletrônico (todos os equipamentos e materiais necessários para instalação, tais como: interfone, acessórios, motor) e instalação (mão-de-obra).;1;R$ 4.410,00;PINHAIS;
31/2020;Contratação de empresa especializada na instalação de mobiliário para laboratório de química com fornecimento de materiais e mão de obra necessários para execução da prestação de serviço para o IFPR – Campus Pinhais.;1;R$ 23.494,90;PINHAIS;
32/2020;"Aquisição de ""luva"" e ""tê"" em PVC para realização de conserto no campus Pinhais.";2;R$ 200,00;PINHAIS;
33/2020;"Aquisição de tubo 100mm e ""joelho"" em PVC para realização de conserto no campus Pinhais.";2;R$ 1.537,90;PINHAIS;
34/2020;Contratação de Serviços de Troca de Janela para o Campus Pinhais do IFPR;1;R$ 8.600,00;PINHAIS;
35/2020;Contratação de fundação de apoio para gerir os recursos recebidos por meio de projeto selecionado em chamada pública pela COPEL, PEE 002 - 2019.;1;R$ 17.979,36;PINHAIS;
01/2020;Aquisição de cestas básicas (kit de alimentos) para doação à alunos matriculados no ensino médio regular do IFPR - Campus Pitanga.;1;R$ 14.664,72;PITANGA;
02/2020;Contratação de pessoa jurídica para fornecimento de recarga de extintores para o IFPR - Campus Pitanga.;5;R$ 848,00;PITANGA;
03/2020;Aquisição de cestas básicas de gêneros alimentícios da Agricultura Familiar e do Empreendedor Familiar Rural, para o atendimento ao Programa Nacional de Alimentação Escolar - PNAE;1;R$ 47.222,28;PITANGA;
04/2020;Aquisição de cestas básicas de gêneros alimentícios da Agricultura Familiar e do Empreendedor Familiar Rural, para o atendimento ao Programa Nacional de Alimentação Escolar - PNAE;1;R$ 47.222,28;PITANGA;
05/2020;Contratação de empresa especializada na organização e realização do I Torneio sul brasileiro de LOL dos Institutos Federais.;1;R$ 11.010,00;PITANGA;
06/2020;Dispensa de Licitação para atender estimativa de despesas com energia elétrica do Campus Pitanga do Instituto Federal do Paraná para o Exercício de 2021.;1;R$ 96.000,00;PITANGA;
01/2019;Aquisição de materiais de manutenção predial;;R$ 1.970,00;TELÊMACO BORBA;
02/2019;Aquisição de materiais elétricos;;R$ 5.337,50;TELÊMACO BORBA;
03/2019;Instalação e manutenção de aparelhos de ar-condicionado;;R$ 1.860,00;TELÊMACO BORBA;
04/2019;Aquisição de materiais elétricos;;R$ 3.251,26;TELÊMACO BORBA;
05/2019;Curso de Formação de Brigadistas;;R$ 2.990,00;TELÊMACO BORBA;
06/2019;Fornecimento de materiais relativos a manutenção e/ou reforma predial;;R$ 2.460,33;TELÊMACO BORBA;
08/2019;Contratação de propaganda;;R$ 800,00;TELÊMACO BORBA;
10/2019;Aquisição de certificação digital e token;;R$ 1.050,00;TELÊMACO BORBA;
11/2019;Contratação de seguro predial;;R$ 4.000,00;TELÊMACO BORBA;
12/2019;Aquisição de materiais elétricos;;R$ 4.524,96;TELÊMACO BORBA;
13/2019;Aquisição de certificação digital e token;;R$ 1.212,00;TELÊMACO BORBA;
01/2020;A manutenção predial pretendida visa executar um conjunto de atividades para garantir plena capacidade e condições de funcionamento contínuo, seguro e confiável dos ambientes de trabalho institucional, preservando as características e desempenhos, mantendo o estado de uso ou de operação, bem como na recuperação deste estado, e ainda manter o patrimônio do Instituto Federal do Paraná - Campus Telêmaco Borba.;16;R$ 8.938,88;TELÊMACO BORBA;
02/2020;A aquisição se justifica para manter o abastecimento de café e açúcar, destinado para atender a demanda dos servidores, prestadores de serviço e visitantes desta instituição. ;3;R$ 1.869,99;TELÊMACO BORBA;
03/2020;A aquisição de ANILHA PARA CABO DE AÇO, CABO DE AÇO POLIDO E CLIPS PARA DE AÇO para a manutenção e conservação dos portões laterais tendo em vista a necessidade da sua ampla utilização. A aquisição de ISCA PARA FORMIGAS é necessária para o controle das formigas cortadeiras que danificam o gramado e paisagismo do campus. E a aquisição do RESERVATÓRIO PARA SABONETE é impreterivelmente necessários ao combate do COVID-19 para garantia da saúde dos funcionários do campus.  ;5;R$ 2.454,38;TELÊMACO BORBA;
04/2020;Contratação de Seguro Predial;1;R$ 4.000,00;TELÊMACO BORBA;
05/2020;Certificado e-CPF A3, validade 36 meses.;1;R$ 164,50;TELÊMACO BORBA;
07/2020;Implantação de núcleo de pesquisa, desenvolvimento e formação técnica para a Indústria 4.0 - IFPR Campus Telêmaco Borba”, que visa a Criação do Núcleo de Pesquisa e Desenvolvimento e um espaço Maker 4.0 no IFPR - Telêmaco Borba para analisar, capacitar, difundir a produção de tecnologias no Brasil, com base em estudos e projetos no escopo da Indústria 4.0.;4;R$ 49.959,80;TELÊMACO BORBA;
08/2020;Implantação de núcleo de pesquisa, desenvolvimento e formação técnica para a Indústria 4.0 - IFPR Campus Telêmaco Borba”, que visa a Criação do Núcleo de Pesquisa e Desenvolvimento e um espaço Maker 4.0 no IFPR - Telêmaco Borba para analisar, capacitar, difundir a produção de tecnologias no Brasil, com base em estudos e projetos no escopo da Indústria 4.0.;3;R$ 29.705,00;TELÊMACO BORBA;
09/2020;Implantação de núcleo de pesquisa, desenvolvimento e formação técnica para a Indústria 4.0 - IFPR Campus Telêmaco Borba”, que visa a Criação do Núcleo de Pesquisa e Desenvolvimento e um espaço Maker 4.0 no IFPR - Telêmaco Borba para analisar, capacitar, difundir a produção de tecnologias no Brasil, com base em estudos e projetos no escopo da Indústria 4.0.;1;R$ 45.450,00;TELÊMACO BORBA;
43466;Contratação de empresa para serviços de desinsetização, desratização e limpeza de caix a d'água para o Campus Umuarama;;R$ 7.600,00;UMUARAMA;
02/2019;Aquisição de material de consumo, sendo 50 metros de Fio/Cabo PP 3 x 4 mm para atender a demanda de manutenção/instalação dos ar cond icionados do campus Avançado Goioerê;;R$ 350,00;UMUARAMA;
03/2019;Contratação de empresa para serviço de manutenção e conserto de aparelhos de ar condic ionado;;R$ 1.024,00;UMUARAMA;
04/2019;Aquisição do disjuntor trifásico DIN de 100a para substituição na caixa de entrada de energia do Bloco 2, afim de evitar o aqueciment o dos fios de energia levando ao risco eminent e de incêndio no Campus;;R$ 80,00;UMUARAMA;
05/2019;"Serviço de Demarcação de Divisa entre o s lotes das Matrículas n 394 e 25.178. Utiliza ndo-se de equipamento: Estação Total a Laser ou infravermelho, GPS RTK ou Outro com colocação de ""Estacas"" para Demarcar a área do Campus Ava nçado Goioerê do IFPR. Levantamento Topográfico";;R$ 3.500,00;UMUARAMA;
06/2019;Solicitação de execução de serviço com caminhão auto fossa de capacidade 8m para real ização de esgotamento de fossa do bloco 3 e 4 d evido a transbordo.;;R$ 180,00;UMUARAMA;
07/2019;Contratação de empresa para serviços de impressão de folhas com a logo do IFPR colorid as para posterior preenchimento e impressão das carteirinhas estudantis;;R$ 150,00;UMUARAMA;
08/2019;Aquisição de material hidráulico para a tender a demanda de manutenção/reparo dos regis tros, canos e outros que estão conectados/insta lados junto as Caixas D águas do Campus;;R$ 347,12;UMUARAMA;
09/2019;Aquisição de reagentes para preparação de nanopartículas, que serão utilizados para de senvolvimento de pesquisas e dissertações ligad as ao Programa de Mestrado em Sustentabilidade IFPR/UEM;;R$ 1.505,00;UMUARAMA;
10/2019;Serviço de lanche/coffee break. Mínimo de dois tipos de salgados (variando entre sandu íches, tortas e/ou salgados assados), pão de qu eijo, dois tipos de bolo simples doce, café, re frigerante, suco natural e/ou de caixa. Forneci mento do material necessário, como mesas, toalh as, bandejas, copos, guardanapos e talheres, et c;;R$ 4.050,00;UMUARAMA;
11/2019;Contratação de empresa especializada em limpeza em altura para o Bloco 2;;R$ 6.600,00;UMUARAMA;
12/2019;Aquisição de material engarrafado (reca rga de gás) para atender a demanda do Campus Um uarama em 2019/2020. 10 unidades - Recarga de Gás GLP 13KG uso domestico 02 unidades - Reca rga de Gás GLP 45KG uso industrial;;R$ 1.367,20;UMUARAMA;
14/2019;Aquisição de materiais de consumo de Te cnologia da Informação e Comunicação para manut enção do sistema de TI do Campus Umuarama;;R$ 12.159,50;UMUARAMA;
15/2019;Aquisição de dispositivo Token e contra tação de serviço de certificação digital para o Campus Umuarama e Campus Avançado Goioerê.;;R$ 1.740,00;UMUARAMA;
16/2019;Aquisição de artigos de decoração para atender demanda do Campus Umuarama em seus even tos e formaturas;;R$ 4.095,70;UMUARAMA;
17/2019;Aquisição de cortinas de ar. CORTINA DE AR, DIMENSÕES APROXIMADAS 0,90 X 0,22 X 0,1 8 M (L X A X P) - CORTINA DE AR, DIMENSÕES A PROXIMADAS DO PRODUTO: 0,90 X 0,22 X 0,18 M (L X A X P), DEVE POSSUIR NÍVEL DE RUÍDO ENTRE AS NORMAS TÉCNICAS DA ABNT. VOLTAGEM: 220 V, POTÊN CIA: 220 W, FREQUÊNCIA: 50/60 HZ, VAZÃO DE AR a proximada (M /H): 1200, NÚMERO DE VELOCIDADES: MÍNIMO 2. COM CONTROLE REMOTO.;;R$ 1.799,96;UMUARAMA;
18/2019;Contratação de Apólice de Seguro Predia l de acordo com valores de coberturas pré defin idas;;R$ 6.873,46;UMUARAMA;
20/2019;Contratação de empresa para serviço de conserto e manutenção de bebedouro industrial.;;R$ 650,00;UMUARAMA;
